set_num,name,year,theme_id,num_parts
03093-1,The Race to Build It Board Game,1999,502,70
10000-1,Guarded Inn,2001,186,256
10001-1,Metroliner,2001,233,785
10002-1,Railroad Club Car,2001,233,272
10003-1,1 x 2 Sand Red Bricks,2001,254,100
10004-1,2 x 2 Sand Red Bricks,2001,254,100
10005-1,2 x 4 Sand Red Bricks,2001,254,50
10006-1,1 x 6 Sand Red Bricks,2001,254,50
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25
10008-1,2 x 4 Roof Tile Sand Red,2001,254,50
10009-1,Assorted Blue Bricks,2001,254,62
10010-1,Assorted Yellow Bricks,2003,254,63
10011-1,Assorted Blue Plates,2001,254,42
10012-1,Assorted Yellow Plates,2001,254,42
10013-1,Open Freight Wagon,2001,238,121
10014-1,Caboose,2001,238,170
10015-1,Passenger Wagon,2001,238,194
10016-1,Tanker,2001,238,128
10017-1,Hopper Wagon,2001,238,228
10018-1,Darth Maul,2001,158,1868
10019-1,Rebel Blockade Runner - UCS,2001,174,1747
10020-1,"Santa Fe Super Chief, NOT the Limited Edition",2002,236,427
10020-2,"Santa Fe Super Chief, Limited Edition",2002,236,433
10021-1,U.S.S. Constellation,2003,404,974
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,237,410
10023-1,Master Builder Set,2002,324,112
10024-1,Red Baron,2002,276,669
10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,237,325
10026-1,Naboo Starfighter - UCS,2002,172,187
10027-1,Train Engine Shed,2003,239,670
10029-1,Lunar Lander,2003,387,468
10030-1,Imperial Star Destroyer - UCS,2002,174,3115
10036-1,Pizza To Go,2002,75,150
10037-1,Breezeway Cafe,2002,75,194
10039-1,Black Falcon's Fortress,2002,186,431
10040-1,Black Seas Barracuda,2002,147,914
10041-1,"Main Street, Reissue",2003,85,639
10042-1,American Flag,2003,206,35
10043-1,2x2 Electrical Plate,2002,254,1
10044-1,Windows and Doors,2002,254,44
10045-1,Pillars and Beams,2002,254,13
10046-1,Brown Tiles,2002,254,100
10047-1,Light Gray Arches,2002,254,36
10048-1,Small Wheels and Axles,2002,254,61
10049-1,Large Wheels and Axles,2002,254,31
10050-1,Gray Fences,2002,254,34
10051-1,Transparent Bricks,2002,254,50
10053-1,Black Slopes 33,2003,254,44
10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68
10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003,254,50
10056-1,White Plates 2 x n,2002,254,56
10057-1,Black Plates 2 x n,2002,254,56
10058-1,Red Plates 2 x n,2002,254,56
10059-1,Dark Green Plates 2 x n,2002,254,56
10060-1,Light Gray Plates 2 x n,2002,254,56
10061-1,Black Plates 1 x n,2002,254,84
10062-1,Red Plates 1 x n,2002,254,84
10063-1,Dark Green Plates 1 x n,2002,254,84
10064-1,Light Gray Plates 1 x n,2002,254,84
10065-1,White Plates 1 x n,2002,254,84
10066-1,Castle Accessories,2002,255,41
10067-1,Mini-Fig Headgear,2002,254,53
10068-1,Santa Claus,2002,227,39
10069-1,Christmas Tree,2002,227,33
10070-1,Reindeer,2002,227,26
10071-1,Mr. Bunny,2003,229,25
10072-1,TECHNIC Beams,2003,256,56
10073-1,Bushes,2003,256,130
10074-1,Cross Axles,2003,256,68
10075-1,Spider-Man Action Pack,2002,488,25
10076-1,TECHNIC Gear Wheels,2002,256,38
10077-1,TECHNIC Motor,2003,256,55
10078-1,Train Connection Wire,2003,257,1
10079-1,Snowman,2003,227,42
10080-1,Angel,2003,227,33
10081-1,Birthday Pack Heart,2004,500,70
10082-1,Birthday Pack Daisy,2004,500,70
10083-1,Birthday Pack Star,2004,500,70
10090-1,Turkey,2003,231,54
10111-1,Foliferous Tree,2001,254,10
10112-1,Bush,2001,254,25
10113-1,Cypress Trees,2001,254,5
10114-1,2 x 2 Sand Red Roof Tiles,2001,254,100
10115-1,Jumper Bricks,2001,254,80
10116-1,Accessories Heart,2004,500,50
10117-1,Accessories Daisy,2004,500,50
10118-1,Accessories Star,2004,500,50
10121-1,NBA Basketball Teams,2003,459,16
10123-1,Cloud City,2003,169,707
10124-1,Wright Flyer,2003,276,663
10127-1,NHL Action Set with Stickers,2003,461,56
10128-1,Train Level Crossing,2003,239,326
10129-1,Rebel Snowspeeder - UCS,2003,174,1456
10131-1,TIE Fighter Collection,2004,169,688
10132-1,Motorized Hogwarts Express,2004,246,693
10133-1,Burlington Northern Santa Fe Locomotive,2004,236,400
10134-1,Y-wing Attack Starfighter - UCS,2004,174,1487
10145-1,Assorted Light Gray Bricks,2004,254,124
10146-1,Assorted Dark Gray Bricks,2004,254,62
10147-1,Assorted Brown Bricks,2004,254,62
10148-1,Assorted Light Gray Plates,2004,254,84
10149-1,Assorted Dark Gray Plates,2004,254,42
10150-1,Assorted Brown Plates,2004,254,42
10151-1,Hot Rod,2004,278,420
10152-1,Maersk Sealand Container Ship 2004 Edition,2004,276,982
10153-1,Electric Train Motor 9V (My Own Train),2002,244,3
10156-1,LEGO Truck,2004,85,105
10157-1,High Speed Train Locomotive,2004,239,134
10158-1,High Speed Train Car,2004,239,151
10159-1,City Airport -City Logo Box,2004,53,913
10159-2,City Airport -Full Size Image Box,2004,68,913
10160-1,Black Ridge Roof Tiles,2004,254,48
10161-1,Black Roof Tiles,2004,254,76
10162-1,Red Ridge Tiles,2004,254,48
10163-1,Red Roof Tiles,2004,254,76
10165-1,Elf Boy,2004,227,27
10166-1,Elf Girl,2004,227,31
10167-1,Brickmaster Kit (with Digital Designer CD),2004,301,182
10201-1,Takutanuva,2003,347,3
10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,347,6
10202-2,Ultimate Dume,2004,347,3
10205-1,Locomotive,2002,238,231
1024601-1,Adventurers Value Pack (TRU Exclusive),2001,297,3
1029-1,Milk Delivery Truck - Tine,1999,75,90
1054-1,Stena Line Ferry,1999,471,211
1061-1,Single Disk Pack,2000,20,1
1068-1,Air Patrol,1999,87,20
1069-1,Speedboat,1999,77,22
1070-1,Stunt Flyer,1999,87,20
1076-1,Advent Calendar 1999,1999,207,228
1076-10,Advent Calendar 1999 (Day  9) Fire Engine,1999,217,10
1076-11,Advent Calendar 1999 (Day 10) Santa Minifig,1999,217,5
1076-12,Advent Calendar 1999 (Day 11) Dog,1999,217,8
1076-13,Advent Calendar 1999 (Day 12) Hippo,1999,217,9
1076-14,Advent Calendar 1999 (Day 13) Hovercraft,1999,217,10
1076-15,Advent Calendar 1999 (Day 14) Penguin,1999,217,8
1076-16,Advent Calendar 1999 (Day 15) Elf,1999,217,12
1076-17,Advent Calendar 1999 (Day 16) Seaplane,1999,217,10
1076-18,Advent Calendar 1999 (Day 17) Gentleman,1999,217,10
1076-19,Advent Calendar 1999 (Day 18) Elephant,1999,217,10
1076-2,Advent Calendar 1999 (Day  1) Plane,1999,217,11
1076-20,Advent Calendar 1999 (Day 19) Sea Plane,1999,217,8
1076-21,Advent Calendar 1999 (Day 20) Cow,1999,217,10
1076-22,Advent Calendar 1999 (Day 21) Police Car,1999,217,11
1076-23,Advent Calendar 1999 (Day 22) Dog with Red Hat,1999,217,12
1076-24,Advent Calendar 1999 (Day 23) Police Helicopter,1999,217,10
1076-25,Advent Calendar 1999 (Day 24) Santa,1999,217,11
1076-3,Advent Calendar 1999 (Day  2) Snowman,1999,217,11
1076-4,Advent Calendar 1999 (Day  3) Speedboat,1999,217,7
1076-5,Advent Calendar 1999 (Day  4) Girl,1999,217,8
1076-6,Advent Calendar 1999 (Day  5) Sailboat,1999,217,9
1076-7,Advent Calendar 1999 (Day  6) Reindeer,1999,217,12
1076-8,Advent Calendar 1999 (Day  7) Plane,1999,217,10
1076-9,Advent Calendar 1999 (Day  8) Girl,1999,217,8
1088-1,Road Burner,1999,87,25
1094-1,Johnny Thunder,1999,297,13
1095-1,Super Sub,1999,311,24
1096-1,Race Buggy,1997,82,23
1097-1,Res-Q Runner,1999,92,18
1098-1,Hang Glider,1998,87,19
1099-1,Ninja Blaster,1999,434,24
1100-1,Sky Pirates,2001,68,110
1106-2,Basic Building Set,1999,470,413
1127-1,Santa,1999,227,39
1128-1,Santa on Skis,1997,227,21
1129-2,Santa on Reindeer,1999,227,34
1149-1,Air Police,2002,100,24
1177-1,Santa In Truck with Polar Bear,2000,227,26
1180-1,Space Port Moon Buggy,1999,93,25
1181-1,Space Port Spacecraft,1999,93,23
1182-1,Adventurers Raft,1999,297,18
1183-1,Mummy and Cart,1999,297,17
1184-1,Cart,1999,434,24
1185-1,Raft,1999,434,25
1186-1,Cart,1999,434,25
1187-1,Glider,1999,434,23
1188-1,Fire Formula,1999,87,38
1189-1,Rocket Boat,1999,87,30
1190-1,Retro Buggy,1999,87,90
1191-1,Try Bird,1999,87,34
1194-1,Classic Building Table,1999,470,408
1195-1,Alien Encounter,2001,135,42
1196-1,Biker with Bicycle,2000,458,7
1197-1,Telekom Race Cyclist and Television Motorbike,2000,458,30
1198-1,Service Team - 2 Bikers with Service Tools,2000,458,76
1199-1,Winning Team,2000,458,110
1202-1,racer polybag,2001,125,1
1237-1,Honda Promotional Set,2001,14,55
1239-1,Subzero,2001,125,4
1246-1,Helicopter,1999,50,26
1247-1,Patrol Car,1999,50,32
1248-1,Fire Boat,1999,50,24
1249-1,Tri-motorbike,1999,60,17
1250-1,Dragster,1999,91,24
1251-1,Go-Cart,1999,91,25
1252-1,Shell Tanker,1999,99,106
1253-1,Shell Car Transporter,1999,99,101
1254-1,Shell Select Shop,1999,99,164
1255-1,Shell Car Wash,1999,99,136
1256-1,Shell Petrol Pump,1999,99,156
1257-1,Trike Buggy,1999,13,30
1258-1,Propellor Buggy,1999,11,29
1259-1,Motorbike,1999,13,28
1260-1,Car,1999,12,26
1263-1,Easter Bunny,2000,229,29
1264-1,Easter Chicks,2000,229,29
1265-1,Moon Buggy,1999,93,25
1266-1,Space Probe,1999,93,23
1268-1,Bike Blaster,1999,13,28
1269-1,White Ninja,1999,434,23
1271-1,Jungle Surprise,1999,299,33
1272-1,Blue Racer,2000,91,23
1273-1,Red Four Wheel Driver,2000,91,20
1274-1,Light Hover,2000,442,25
1275-1,{Rock Saw Vehicle},2000,442,22
1276-1,Helicopter Transport,2000,442,22
1277-1,Drill Craft,2000,442,27
1278-1,Johnny Thunder & Baby T,2000,298,23
1279-1,Aeroplane,2000,298,21
1280-1,Microcopter,2000,298,28
1281-1,Aeroplane,2000,298,25
1282-1,Blue Racer,2000,91,23
1283-1,Red Four Wheel Driver,2000,91,20
1284-1,Green Buggy,2000,91,23
1285-1,Yellow Tiger,2001,91,23
1286-1,King Leo's Cart,2000,197,22
1287-1,Crossbows,2000,197,16
1288-1,Fire Cart,2000,197,24
1289-1,Catapult,2000,197,23
1290-1,Kabaya Promotional Set: Red (Volcano Climber) RoboRider,2000,16,35
1291-1,Power Bike,2000,16,32
1292-1,Kabaya Promotional Set: White (Ice Explorer) RoboRider,2000,16,33
1293-1,Kabaya Promotional Set: Yellow/Green (Swamp Craft) RoboRider,2000,16,25
1294-1,Fire Helicopter,2000,50,31
1295-1,Water Rider,2000,87,30
1296-1,Land Scooper,2000,50,30
1297-1,Speed Patroller,2000,50,34
1298-1,Advent Calendar 1998 Classic Basic,1998,212,24
1298-10,Advent Calendar 1998 Classic Basic (Day  9) Whale,1998,221,9
1298-11,Advent Calendar 1998 Classic Basic (Day 10)  Steamboat,1998,221,12
1298-12,Advent Calendar 1998 Classic Basic (Day 11) Boat,1998,221,8
1298-13,Advent Calendar 1998 Classic Basic (Day 12) Airplane,1998,221,12
1298-14,Advent Calendar 1998 Classic Basic (Day 13) Santa,1998,221,5
1298-15,Advent Calendar 1998 Classic Basic (Day 14) Airplane,1998,221,9
1298-16,Advent Calendar 1998 Classic Basic (Day 15) Green Elf,1998,221,9
1298-17,Advent Calendar 1998 Classic Basic (Day 16) Boat,1998,221,8
1298-18,Advent Calendar 1998 Classic Basic (Day 17) Mouse,1998,221,9
1298-19,Advent Calendar 1998 Classic Basic (Day 18) Blue Elf,1998,221,10
1298-2,Advent Calendar 1998 Classic Basic (Day  1)  Airplane,1998,221,10
1298-20,Advent Calendar 1998 Classic Basic (Day 19) Boat,1998,221,9
1298-21,Advent Calendar 1998 Classic Basic (Day 20) Helicopter,1998,221,11
1298-22,Advent Calendar 1998 Classic Basic (Day 21) Red Elf,1998,221,9
